Outcome (or Indicator),Group,Percentage,Confidence Interval,Title,Description,Year
Coronary heart disease,Total,4.6,"4.3,  4.9","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Male,5.9,"5.5,  6.3","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Female,3.4,"3.1,  3.7","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,18-34 years,0.3,"0.2,  0.5","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,35-49 years,0.9,"0.6,  1.2","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,50-64 years,5.4,"4.9,  6.0","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,65 years and over,14,"13.2, 14.9","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,18-44 years,0.5,"0.3,  0.6","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,45-64 years,4.4,"4.0,  4.9","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,65-74 years,10.5,"9.5, 11.5","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,75 years and over,19.2,"17.7, 20.7","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,"White, single race",5,"4.7,  5.3","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,"Black or African American, single race",4.4,"3.7,  5.2","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,"American Indian or Alaska Native, single race",5.4,"3.0,  9.0","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,"Asian, single race",2.8,"1.9,  3.8","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,"Native Hawaiian or Other Pacific Islander, single race",999,,"Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Black or African American and White,888,,"Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,American Indian or Alaska Native and White,999,,"Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Hispanic or Latino,2.8,"2.3,  3.5","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Mexican or Mexican American,2.6,"1.9,  3.6","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Not Hispanic or Latino,5,"4.7,  5.2","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,"Not Hispanic or Latino, White, single race",5.3,"5.0,  5.7","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,"Not Hispanic or Latino, Black or African American, single race",4.3,"3.6,  5.1","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,"Other, non-Hispanic",3.2,"2.5,  4.0","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Less than high school diploma,8.9,"7.7, 10.1","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,High school diploma or GED,5.8,"5.2,  6.4","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Some college,5,"4.5,  5.5","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,College degree or higher,3.5,"3.1,  3.8","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Married,4.9,"4.5,  5.3","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Widowed,13.8,"12.4, 15.3","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Divorced or separated,6.4,"5.6,  7.2","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Never married,1.7,"1.4,  2.1","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Living with a partner,2.5,"1.8,  3.4","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Large central metro,3.9,"3.4,  4.3","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Large fringe metro,4.2,"3.7,  4.7","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Medium and small metro,5,"4.5,  5.5","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Nonmetropolitan,6.1,"5.3,  6.9","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Northeast,5,"4.4,  5.8","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Midwest,4.6,"4.1,  5.2","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,South,5,"4.6,  5.5","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,West,3.6,"3.1,  4.1","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Large MSA,4,"3.7,  4.4","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Small MSA,5,"4.5,  5.5","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Not in MSA,6.1,"5.3,  6.9","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Private,1.5,"1.3,  1.7","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Medicaid or other public,3.8,"3.0,  4.7","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Other coverage,6.7,"5.0,  8.7","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Uninsured,1,"0.7,  1.5","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Private,13,"11.8, 14.3","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Medicare and Medicaid,20.2,"16.5, 24.3","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Medicare Advantage,12.4,"11.0, 13.9","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Medicare only (no Advantage),13.6,"11.3, 16.3","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Other coverage,19.4,"16.0, 23.1","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Uninsured,999,,"Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Employed,1.7,"1.5,  2.0","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Not employed,9.9,"9.2, 10.5","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Full-time,1.4,"1.2,  1.6","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Part-time,3.2,"2.6,  4.0","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Not employed but has worked previously,10.5,"9.8, 11.2","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Not employed and has never worked,3.5,"2.2,  5.2","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Less than 100% FPL,6.1,"5.2,  7.1","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,100% to less than 200% FPL,6,"5.3,  6.7","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,200% and greater FPL,4,"3.7,  4.3","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,U.S.-born,4.9,"4.6,  5.2","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Foreign-born,3.6,"3.0,  4.2","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,With disability,17,"15.4, 18.7","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Without disability,3.4,"3.2,  3.6","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Gay/lesbian,2,"0.9,  3.8","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Straight,4.7,"4.5,  5.0","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Bisexual,1.6,"0.4,  4.3","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Little to no social vulnerability,4,"3.5,  4.5","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Low social vulnerability,4.2,"3.7,  4.7","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,Medium social vulnerability,4.8,"4.4,  5.3","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
Coronary heart disease,High social vulnerability,5.2,"4.6,  5.9","Percentage of coronary heart disease for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had coronary heart disease.,2019
