County,State,HealthCareCosts_PerCapita_LowerBound($),HealthCareCosts_PerCapita_UpperBound($),HealthCareCosts_PerCapita_AverageBound($)
Aleutians East,AK,21533.00,36976.00,29255.00
Aleutians West,AK,5293.00,17395.00,11344.00
Anchorage,AK,5293.00,17395.00,11344.00
Bethel,AK,21533.00,36976.00,29255.00
Bristol Bay,AK,5293.00,17395.00,11344.00
Denali,AK,5293.00,17395.00,11344.00
Dillingham,AK,21533.00,36976.00,29255.00
Fairbanks North Star,AK,5293.00,17395.00,11344.00
Haines,AK,21533.00,36976.00,29255.00
Hoonah-Angoon,AK,21533.00,36976.00,29255.00
Juneau,AK,5293.00,17395.00,11344.00
Kenai Peninsula,AK,17395.00,18752.00,18074.00
Ketchikan Gateway,AK,21533.00,36976.00,29255.00
Kodiak Island,AK,17395.00,18752.00,18074.00
Lake and Peninsula,AK,21533.00,36976.00,29255.00
Matanuska-Susitna,AK,5293.00,17395.00,11344.00
Nome,AK,21533.00,36976.00,29255.00
North Slope,AK,21533.00,36976.00,29255.00
Northwest Arctic,AK,18752.00,20004.00,19378.00
Petersburg,AK,20004.00,21533.00,20769.00
Prince of Wales-Hyder,AK,21533.00,36976.00,29255.00
Sitka,AK,21533.00,36976.00,29255.00
Skagway,AK,21533.00,36976.00,29255.00
Southeast Fairbanks,AK,5293.00,17395.00,11344.00
Valdez-Cordova,AK,20004.00,21533.00,20769.00
Kusilvak,AK,20004.00,21533.00,20769.00
Wrangell,AK,21533.00,36976.00,29255.00
Yakutat,AK,5293.00,17395.00,11344.00
Yukon-Koyukuk,AK,5293.00,17395.00,11344.00
Alameda,CA,20004.00,21533.00,20769.00
Amador,CA,5293.00,17395.00,11344.00
Butte,CA,20004.00,21533.00,20769.00
Calaveras,CA,17395.00,18752.00,18074.00
Colusa,CA,17395.00,18752.00,18074.00
Contra Costa,CA,18752.00,20004.00,19378.00
Del Norte,CA,5293.00,17395.00,11344.00
El Dorado,CA,5293.00,17395.00,11344.00
Glenn,CA,18752.00,20004.00,19378.00
Humboldt,CA,5293.00,17395.00,11344.00
Kings,CA,5293.00,17395.00,11344.00
Lake,CA,21533.00,36976.00,29255.00
Lassen,CA,17395.00,18752.00,18074.00
Marin,CA,5293.00,17395.00,11344.00
Mariposa,CA,5293.00,17395.00,11344.00
Mendocino,CA,18752.00,20004.00,19378.00
Merced,CA,17395.00,18752.00,18074.00
Modoc,CA,5293.00,17395.00,11344.00
Monterey,CA,17395.00,18752.00,18074.00
Napa,CA,5293.00,17395.00,11344.00
Nevada,CA,5293.00,17395.00,11344.00
Placer,CA,5293.00,17395.00,11344.00
Plumas,CA,17395.00,18752.00,18074.00
Sacramento,CA,18752.00,20004.00,19378.00
San Benito,CA,17395.00,18752.00,18074.00
San Francisco,CA,18752.00,20004.00,19378.00
San Joaquin,CA,17395.00,18752.00,18074.00
San Luis Obispo,CA,5293.00,17395.00,11344.00
San Mateo,CA,5293.00,17395.00,11344.00
Santa Barbara,CA,5293.00,17395.00,11344.00
Santa Clara,CA,17395.00,18752.00,18074.00
Santa Cruz,CA,5293.00,17395.00,11344.00
Shasta,CA,17395.00,18752.00,18074.00
Sierra,CA,17395.00,18752.00,18074.00
Siskiyou,CA,5293.00,17395.00,11344.00
Solano,CA,20004.00,21533.00,20769.00
Sonoma,CA,5293.00,17395.00,11344.00
Stanislaus,CA,17395.00,18752.00,18074.00
Sutter,CA,5293.00,17395.00,11344.00
Tehama,CA,5293.00,17395.00,11344.00
Trinity,CA,17395.00,18752.00,18074.00
Tuolumne,CA,17395.00,18752.00,18074.00
Yolo,CA,5293.00,17395.00,11344.00
Yuba,CA,17395.00,18752.00,18074.00
Hawaii,HI,5293.00,17395.00,11344.00
Honolulu,HI,5293.00,17395.00,11344.00
Kalawao,HI,,,#DIV/0!
Kauai,HI,5293.00,17395.00,11344.00
Maui,HI,5293.00,17395.00,11344.00
Benton,OR,5293.00,17395.00,11344.00
Clackamas,OR,17395.00,18752.00,18074.00
Clatsop,OR,20004.00,21533.00,20769.00
Columbia,OR,5293.00,17395.00,11344.00
Coos,OR,5293.00,17395.00,11344.00
Crook,OR,5293.00,17395.00,11344.00
Curry,OR,5293.00,17395.00,11344.00
Deschutes,OR,5293.00,17395.00,11344.00
Douglas,OR,5293.00,17395.00,11344.00
Gilliam,OR,5293.00,17395.00,11344.00
Hood River,OR,5293.00,17395.00,11344.00
Jackson,OR,5293.00,17395.00,11344.00
Jefferson,OR,5293.00,17395.00,11344.00
Josephine,OR,5293.00,17395.00,11344.00
Klamath,OR,5293.00,17395.00,11344.00
Lake,OR,5293.00,17395.00,11344.00
Lane,OR,5293.00,17395.00,11344.00
Lincoln,OR,5293.00,17395.00,11344.00
