LocationAbbr,"Deaths per 100,000",Gender,Race/Ethnicity
AK,254.3,Overall,White
AK,261.5,Overall,White
AK,285.4,Overall,White
AK,278.9,Overall,White
AK,284.2,Overall,White
AK,284.2,Overall,White
AK,255.0,Overall,White
AK,354.5,Overall,White
AK,268.2,Overall,White
AK,264.5,Overall,White
AK,256.0,Overall,White
AK,302.7,Overall,White
AK,299.3,Overall,White
AK,204.4,Overall,White
AK,279.0,Overall,White
AK,255.9,Overall,White
AK,304.2,Overall,White
AK,277.2,Overall,White
AK,208.4,Overall,Black
AK,449.8,Overall,Black
AK,443.7,Overall,Black
AK,204.8,Overall,Black
AK,204.9,Overall,Black
AK,357.0,Overall,Black
AK,207.1,Overall,Black
AK,335.2,Overall,Black
AK,101.0,Overall,Hispanic
AK,101.1,Overall,Hispanic
AK,98.8,Overall,Hispanic
AK,100.0,Overall,Hispanic
AK,191.3,Overall,Asian and Pacific Islander
AK,160.0,Overall,Asian and Pacific Islander
AK,136.3,Overall,Asian and Pacific Islander
AK,191.3,Overall,Asian and Pacific Islander
AK,160.0,Overall,Asian and Pacific Islander
AK,136.3,Overall,Asian and Pacific Islander
AK,191.3,Overall,Asian and Pacific Islander
AK,160.0,Overall,Asian and Pacific Islander
AK,136.3,Overall,Asian and Pacific Islander
AK,472.9,Overall,American Indian and Alaskan Native
AK,358.2,Overall,American Indian and Alaskan Native
AK,323.1,Overall,American Indian and Alaskan Native
AK,370.6,Overall,American Indian and Alaskan Native
AK,348.5,Overall,American Indian and Alaskan Native
AK,371.2,Overall,American Indian and Alaskan Native
AK,371.2,Overall,American Indian and Alaskan Native
AK,434.6,Overall,American Indian and Alaskan Native
AK,440.4,Overall,American Indian and Alaskan Native
AK,389.2,Overall,American Indian and Alaskan Native
AK,363.5,Overall,American Indian and Alaskan Native
AK,380.4,Overall,American Indian and Alaskan Native
AK,349.2,Overall,American Indian and Alaskan Native
AK,374.8,Overall,American Indian and Alaskan Native
AK,326.7,Overall,American Indian and Alaskan Native
AK,443.7,Overall,American Indian and Alaskan Native
AK,383.5,Overall,American Indian and Alaskan Native
AK,348.3,Overall,American Indian and Alaskan Native
