LocationAbbr,"Deaths per 100,000",Gender,Race/Ethnicity
AK,55.7,Overall,White
AK,70.0,Overall,White
AK,73.3,Overall,White
AK,101.4,Overall,White
AK,59.6,Overall,White
AK,63.8,Overall,White
AK,57.9,Overall,White
AK,64.6,Overall,White
AK,57.1,Overall,White
AK,48.1,Overall,White
AK,55.2,Overall,White
AK,70.5,Overall,White
AK,22.2,Overall,White
AK,62.5,Overall,White
AK,90.1,Overall,White
AK,87.4,Overall,White
AK,67.1,Overall,White
AK,80.6,Overall,White
AK,89.6,Overall,Black
AK,32.3,Overall,Hispanic
AK,52.5,Overall,Hispanic
AK,31.5,Overall,Hispanic
AK,95.2,Overall,Asian and Pacific Islander
AK,55.5,Overall,Asian and Pacific Islander
AK,97.2,Overall,Asian and Pacific Islander
AK,126.7,Overall,Asian and Pacific Islander
AK,96.7,Overall,Asian and Pacific Islander
AK,97.6,Overall,Asian and Pacific Islander
AK,140.9,Overall,American Indian and Alaskan Native
AK,149.3,Overall,American Indian and Alaskan Native
AK,145.2,Overall,American Indian and Alaskan Native
AK,104.7,Overall,American Indian and Alaskan Native
AK,27.8,Overall,American Indian and Alaskan Native
AK,143.6,Overall,American Indian and Alaskan Native
AK,53.6,Overall,American Indian and Alaskan Native
AK,146.8,Overall,American Indian and Alaskan Native
AK,134.1,Overall,American Indian and Alaskan Native
AK,105.6,Overall,American Indian and Alaskan Native
AK,118.1,Overall,American Indian and Alaskan Native
AK,114.4,Overall,American Indian and Alaskan Native
AK,112.8,Overall,American Indian and Alaskan Native
AK,137.4,Overall,American Indian and Alaskan Native
AK,97.5,Overall,American Indian and Alaskan Native
AK,66.2,Overall,White
AK,94.0,Overall,Black
AK,88.8,Overall,Asian and Pacific Islander
AK,114.4,Overall,American Indian and Alaskan Native
AL,100.9,Overall,White
AL,84.7,Overall,White
AL,84.3,Overall,White
AL,100.5,Overall,White
AL,95.9,Overall,White
AL,87.0,Overall,White
AL,102.9,Overall,White
AL,92.5,Overall,White
AL,81.6,Overall,White
AL,91.5,Overall,White
AL,98.2,Overall,White
AL,102.6,Overall,White
AL,83.0,Overall,White
AL,88.7,Overall,White
AL,89.5,Overall,White
AL,89.7,Overall,White
AL,88.9,Overall,White
AL,104.0,Overall,White
AL,93.1,Overall,White
AL,94.4,Overall,White
AL,91.5,Overall,White
AL,103.0,Overall,White
AL,76.5,Overall,White
AL,105.1,Overall,White
AL,98.6,Overall,White
AL,97.6,Overall,White
AL,92.0,Overall,White
AL,90.6,Overall,White
AL,102.3,Overall,White
AL,94.9,Overall,White
AL,82.4,Overall,White
AL,89.8,Overall,White
AL,92.8,Overall,White
AL,74.4,Overall,White
AL,80.2,Overall,White
AL,113.2,Overall,White
AL,104.5,Overall,White
AL,90.2,Overall,White
AL,88.0,Overall,White
AL,93.8,Overall,White
AL,76.1,Overall,White
AL,87.8,Overall,White
AL,98.5,Overall,White
AL,86.4,Overall,White
AL,85.9,Overall,White
AL,91.0,Overall,White
AL,104.5,Overall,White
AL,105.6,Overall,White
AL,84.6,Overall,White
AL,85.0,Overall,White
AL,99.1,Overall,White
AL,92.3,Overall,White
AL,102.8,Overall,White
AL,89.1,Overall,White
AL,84.6,Overall,White
AL,82.7,Overall,White
AL,74.7,Overall,White
AL,95.7,Overall,White
AL,98.2,Overall,White
AL,98.4,Overall,White
AL,93.3,Overall,White
AL,85.7,Overall,White
AL,102.4,Overall,White
AL,105.6,Overall,White
AL,82.7,Overall,White
AL,88.8,Overall,White
AL,105.4,Overall,White
AL,125.7,Overall,Black
AL,130.2,Overall,Black
AL,131.6,Overall,Black
AL,124.1,Overall,Black
AL,134.0,Overall,Black
AL,126.8,Overall,Black
AL,163.2,Overall,Black
AL,138.4,Overall,Black
AL,109.4,Overall,Black
AL,117.0,Overall,Black
AL,107.4,Overall,Black
AL,129.6,Overall,Black
AL,135.6,Overall,Black
AL,169.8,Overall,Black
AL,143.6,Overall,Black
AL,107.6,Overall,Black
AL,92.0,Overall,Black
AL,170.3,Overall,Black
AL,134.7,Overall,Black
AL,144.7,Overall,Black
AL,130.4,Overall,Black
AL,135.6,Overall,Black
AL,114.1,Overall,Black
AL,119.9,Overall,Black
AL,116.9,Overall,Black
AL,125.5,Overall,Black
AL,137.6,Overall,Black
AL,127.9,Overall,Black
AL,102.7,Overall,Black
AL,87.4,Overall,Black
AL,107.6,Overall,Black
AL,94.7,Overall,Black
AL,108.3,Overall,Black
AL,107.3,Overall,Black
AL,104.4,Overall,Black
AL,112.9,Overall,Black
AL,134.0,Overall,Black
AL,120.3,Overall,Black
AL,129.7,Overall,Black
AL,159.4,Overall,Black
AL,112.8,Overall,Black
AL,79.8,Overall,Black
AL,130.2,Overall,Black
AL,121.5,Overall,Black
AL,114.8,Overall,Black
AL,120.1,Overall,Black
AL,142.1,Overall,Black
AL,143.0,Overall,Black
AL,126.4,Overall,Black
AL,145.8,Overall,Black
AL,125.2,Overall,Black
AL,141.8,Overall,Black
AL,112.9,Overall,Black
AL,99.7,Overall,Black
AL,127.3,Overall,Black
AL,124.7,Overall,Black
AL,118.0,Overall,Black
AL,139.3,Overall,Black
AL,126.7,Overall,Black
AL,117.0,Overall,Black
AL,181.0,Overall,Black
AL,113.2,Overall,Black
AL,110.7,Overall,Black
AL,129.1,Overall,Black
AL,126.4,Overall,Black
AL,136.7,Overall,Black
AL,123.3,Overall,Black
AL,76.5,Overall,Hispanic
AL,21.6,Overall,Hispanic
AL,14.7,Overall,Hispanic
AL,61.6,Overall,Hispanic
AL,0.0,Overall,Hispanic
AL,15.4,Overall,Hispanic
